[INFO]: Timer precision range - min: 1ms, max: 1000000ms
[INFO]: OPENGL - initialised:
[INFO]: - Version: 4.6
[INFO]: - Vendor: NVIDIA Corporation
[INFO]: - Renderer: NVIDIA GeForce GTX 1660 Ti/PCIe/SSE2
[INFO]: - Primary GLSL Version: 4.60 NVIDIA
[INFO]: Compiling shader : shader.vert
[INFO]: Compiling shader : shader.frag
[INFO]: Linking program
[INFO]: Frame time: 16.67 ms.
[INFO]: Frame time: 16.67 ms.
[INFO]: Frame time: 16.67 ms.
[INFO]: Frame time: 16.67 ms.
[INFO]: Frame time: 16.67 ms.
[INFO]: Frame time: 16.67 ms.
[INFO]: Frame time: 16.67 ms.
[INFO]: Frame time: 16.67 ms.
[INFO]: Frame time: 16.67 ms.
[INFO]: Frame time: 17.75 ms.
[INFO]: Frame time: 16.68 ms.
